model_prompt,boundary_failure_category,samples,rate
gpt-4.1-nano__english,exact_intent_only,86,0.4777777777777778
gpt-4.1-nano__english,full_exact_match,27,0.15
gpt-4.1-nano__english,intent_correct_entity_drift,9,0.05
gpt-4.1-nano__english,intent_correct_entity_missing,42,0.23333333333333334
gpt-4.1-nano__english,intent_wrong_entity_partially_correct,5,0.027777777777777776
gpt-4.1-nano__english,intent_wrong_no_entity_match,11,0.06111111111111111
gpt-4.1-nano__hinglish,exact_intent_only,83,0.46111111111111114
gpt-4.1-nano__hinglish,full_exact_match,28,0.15555555555555556
gpt-4.1-nano__hinglish,intent_correct_entity_drift,13,0.07222222222222222
gpt-4.1-nano__hinglish,intent_correct_entity_extra,1,0.005555555555555556
gpt-4.1-nano__hinglish,intent_correct_entity_missing,36,0.2
gpt-4.1-nano__hinglish,intent_wrong_entity_partially_correct,5,0.027777777777777776
gpt-4.1-nano__hinglish,intent_wrong_no_entity_match,14,0.07777777777777778
sarvam-30b__english,exact_entities_only,2,0.011111111111111112
sarvam-30b__english,exact_intent_only,57,0.31666666666666665
sarvam-30b__english,full_exact_match,10,0.05555555555555555
sarvam-30b__english,intent_correct_entity_drift,21,0.11666666666666667
sarvam-30b__english,intent_correct_entity_extra,8,0.044444444444444446
sarvam-30b__english,intent_correct_entity_missing,12,0.06666666666666667
sarvam-30b__english,intent_wrong_entity_partially_correct,9,0.05
sarvam-30b__english,intent_wrong_no_entity_match,28,0.15555555555555556
sarvam-30b__english,null_or_unparsed_prediction,33,0.18333333333333332
sarvam-30b__hinglish,exact_intent_only,60,0.3333333333333333
sarvam-30b__hinglish,full_exact_match,11,0.06111111111111111
sarvam-30b__hinglish,intent_correct_entity_drift,23,0.12777777777777777
sarvam-30b__hinglish,intent_correct_entity_extra,7,0.03888888888888889
sarvam-30b__hinglish,intent_correct_entity_missing,8,0.044444444444444446
sarvam-30b__hinglish,intent_wrong_entity_partially_correct,10,0.05555555555555555
sarvam-30b__hinglish,intent_wrong_no_entity_match,27,0.15
sarvam-30b__hinglish,null_or_unparsed_prediction,34,0.18888888888888888
