slice_tag,boundary_failure_category,samples,rate
adversarial,exact_intent_only,55,0.34375
adversarial,full_exact_match,29,0.18125
adversarial,intent_correct_entity_drift,10,0.0625
adversarial,intent_correct_entity_extra,9,0.05625
adversarial,intent_correct_entity_missing,26,0.1625
adversarial,intent_wrong_entity_partially_correct,3,0.01875
adversarial,intent_wrong_no_entity_match,15,0.09375
adversarial,null_or_unparsed_prediction,13,0.08125
ambiguity,exact_entities_only,1,0.005952380952380952
ambiguity,exact_intent_only,81,0.48214285714285715
ambiguity,full_exact_match,3,0.017857142857142856
ambiguity,intent_correct_entity_drift,9,0.05357142857142857
ambiguity,intent_correct_entity_extra,2,0.011904761904761904
ambiguity,intent_correct_entity_missing,20,0.11904761904761904
ambiguity,intent_wrong_entity_partially_correct,8,0.047619047619047616
ambiguity,intent_wrong_no_entity_match,20,0.11904761904761904
ambiguity,null_or_unparsed_prediction,24,0.14285714285714285
code_switching,exact_entities_only,2,0.002777777777777778
code_switching,exact_intent_only,286,0.3972222222222222
code_switching,full_exact_match,76,0.10555555555555556
code_switching,intent_correct_entity_drift,66,0.09166666666666666
code_switching,intent_correct_entity_extra,16,0.022222222222222223
code_switching,intent_correct_entity_missing,98,0.1361111111111111
code_switching,intent_wrong_entity_partially_correct,29,0.04027777777777778
code_switching,intent_wrong_no_entity_match,80,0.1111111111111111
code_switching,null_or_unparsed_prediction,67,0.09305555555555556
long_context,exact_intent_only,13,0.23214285714285715
long_context,intent_correct_entity_drift,17,0.30357142857142855
long_context,intent_correct_entity_missing,11,0.19642857142857142
long_context,intent_wrong_entity_partially_correct,3,0.05357142857142857
long_context,intent_wrong_no_entity_match,2,0.03571428571428571
long_context,null_or_unparsed_prediction,10,0.17857142857142858
prompt_language_hinglish,exact_entities_only,2,0.002777777777777778
prompt_language_hinglish,exact_intent_only,286,0.3972222222222222
prompt_language_hinglish,full_exact_match,76,0.10555555555555556
prompt_language_hinglish,intent_correct_entity_drift,66,0.09166666666666666
prompt_language_hinglish,intent_correct_entity_extra,16,0.022222222222222223
prompt_language_hinglish,intent_correct_entity_missing,98,0.1361111111111111
prompt_language_hinglish,intent_wrong_entity_partially_correct,29,0.04027777777777778
prompt_language_hinglish,intent_wrong_no_entity_match,80,0.1111111111111111
prompt_language_hinglish,null_or_unparsed_prediction,67,0.09305555555555556
sentiment_load,exact_intent_only,2,0.0625
sentiment_load,full_exact_match,2,0.0625
sentiment_load,intent_correct_entity_drift,6,0.1875
sentiment_load,intent_correct_entity_missing,15,0.46875
sentiment_load,intent_wrong_no_entity_match,6,0.1875
sentiment_load,null_or_unparsed_prediction,1,0.03125
short_utterance,exact_intent_only,10,0.4166666666666667
short_utterance,full_exact_match,2,0.08333333333333333
short_utterance,intent_correct_entity_drift,1,0.041666666666666664
short_utterance,intent_correct_entity_missing,1,0.041666666666666664
short_utterance,intent_wrong_no_entity_match,10,0.4166666666666667
temporal_reference,exact_entities_only,2,0.0058823529411764705
temporal_reference,exact_intent_only,142,0.4176470588235294
temporal_reference,full_exact_match,14,0.041176470588235294
temporal_reference,intent_correct_entity_drift,45,0.1323529411764706
temporal_reference,intent_correct_entity_extra,5,0.014705882352941176
temporal_reference,intent_correct_entity_missing,43,0.1264705882352941
temporal_reference,intent_wrong_entity_partially_correct,24,0.07058823529411765
temporal_reference,intent_wrong_no_entity_match,27,0.07941176470588235
temporal_reference,null_or_unparsed_prediction,38,0.11176470588235295
transliteration_noise,exact_entities_only,1,0.00625
transliteration_noise,exact_intent_only,75,0.46875
transliteration_noise,full_exact_match,11,0.06875
transliteration_noise,intent_correct_entity_drift,12,0.075
transliteration_noise,intent_correct_entity_extra,1,0.00625
transliteration_noise,intent_correct_entity_missing,17,0.10625
transliteration_noise,intent_wrong_entity_partially_correct,7,0.04375
transliteration_noise,intent_wrong_no_entity_match,26,0.1625
transliteration_noise,null_or_unparsed_prediction,10,0.0625
